transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
683,2022-03-06,10:22:00,82,Male,38,Beauty,2,500,175,1000
1683,2022-05-04,07:19:00,98,Male,38,Beauty,2,500,220,1000
986,2022-08-01,09:35:00,65,Female,49,Clothing,2,500,200,1000
1986,2022-09-14,08:28:00,29,Female,49,Clothing,2,500,145,1000
49,2022-09-17,10:33:00,37,Female,54,Electronics,2,500,255,1000
1049,2022-05-16,06:36:00,143,Female,54,Electronics,2,500,125,1000
235,2022-03-10,10:13:00,132,Female,23,Electronics,2,500,275,1000
1235,2022-04-04,06:44:00,87,Female,23,Electronics,2,500,220,1000
237,2022-04-11,08:54:00,105,Female,50,Beauty,2,500,165,1000
1237,2022-02-23,09:20:00,48,Female,50,Beauty,2,500,215,1000
346,2022-09-05,06:54:00,38,Male,59,Clothing,2,500,215,1000
732,2022-10-13,08:45:00,136,Male,61,Electronics,2,500,250,1000
1346,2022-04-10,10:01:00,112,Male,59,Clothing,2,500,130,1000
1732,2022-02-25,07:05:00,55,Male,61,Electronics,2,500,215,1000
256,2022-01-09,08:05:00,3,Male,23,Clothing,2,500,270,1000
1256,2022-11-05,09:58:00,29,Male,23,Clothing,2,500,190,1000
966,2022-11-07,07:22:00,119,Male,60,Electronics,2,500,190,1000
1966,2022-07-20,09:52:00,74,Male,60,Electronics,2,500,200,1000
2,2022-06-24,10:07:00,104,Female,26,Clothing,2,500,135,1000
1002,2022-03-02,09:24:00,69,Female,26,Clothing,2,500,270,1000
621,2022-04-13,09:55:00,138,Female,40,Beauty,2,500,275,1000
1621,2022-09-22,10:49:00,2,Female,40,Beauty,2,500,160,1000
117,2023-08-04,11:38:00,8,Male,19,Electronics,2,500,230,1000
1117,2023-09-11,07:48:00,144,Male,19,Electronics,2,500,210,1000
161,2023-07-01,06:58:00,104,Male,64,Beauty,2,500,195,1000
1161,2023-06-29,11:06:00,30,Male,64,Beauty,2,500,160,1000
461,2023-07-18,10:33:00,21,Female,18,Beauty,2,500,265,1000
1461,2023-05-01,08:43:00,63,Female,18,Beauty,2,500,180,1000
275,2023-03-05,11:34:00,2,Male,43,Clothing,2,500,260,1000
1275,2023-03-02,08:48:00,5,Male,43,Clothing,2,500,250,1000
274,2023-04-14,07:12:00,4,Female,23,Clothing,2,500,150,1000
1274,2023-10-06,09:01:00,2,Female,23,Clothing,2,500,185,1000
589,2023-07-08,07:11:00,5,Female,36,Beauty,2,500,145,1000
1589,2023-07-01,06:30:00,5,Female,36,Beauty,2,500,145,1000
660,2023-07-29,18:46:00,2,Female,38,Beauty,2,500,270,1000
1660,2023-09-23,20:27:00,2,Female,38,Beauty,2,500,160,1000
853,2023-05-14,22:29:00,3,Male,21,Beauty,2,500,155,1000
1853,2023-05-29,18:39:00,2,Male,21,Beauty,2,500,190,1000
779,2023-05-15,19:19:00,3,Female,56,Electronics,2,500,155,1000
1779,2023-01-02,19:45:00,3,Female,56,Electronics,2,500,190,1000
203,2023-03-12,21:33:00,4,Male,56,Clothing,2,500,175,1000
1203,2023-11-26,18:36:00,2,Male,56,Clothing,2,500,145,1000
470,2023-12-26,18:58:00,4,Female,57,Clothing,2,500,165,1000
1470,2023-06-26,19:47:00,1,Female,57,Clothing,2,500,165,1000
94,2023-03-13,22:39:00,5,Female,47,Beauty,2,500,250,1000
1094,2023-06-15,20:34:00,1,Female,47,Beauty,2,500,210,1000
404,2023-02-13,19:55:00,59,Male,46,Electronics,2,500,160,1000
990,2023-03-29,21:45:00,68,Female,58,Beauty,2,500,235,1000
1404,2023-08-20,18:15:00,155,Male,46,Electronics,2,500,185,1000
1990,2023-11-22,17:02:00,48,Female,58,Beauty,2,500,155,1000
382,2023-07-14,21:20:00,29,Female,53,Clothing,2,500,245,1000
1382,2023-05-20,18:13:00,139,Female,53,Clothing,2,500,185,1000
534,2023-04-27,22:30:00,112,Male,45,Clothing,2,500,140,1000
1534,2022-06-13,19:44:00,72,Male,45,Clothing,2,500,270,1000
104,2022-06-09,22:58:00,129,Female,34,Beauty,2,500,190,1000
352,2023-07-28,17:55:00,54,Male,57,Electronics,2,500,175,1000
1104,2022-07-11,20:13:00,70,Female,34,Beauty,2,500,150,1000
1352,2023-10-19,17:40:00,14,Male,57,Electronics,2,500,260,1000
684,2023-06-20,18:02:00,54,Female,28,Clothing,2,500,225,1000
1684,2023-01-23,21:40:00,43,Female,28,Clothing,2,500,200,1000
709,2022-09-22,22:32:00,61,Female,19,Electronics,2,500,140,1000
1709,2023-09-13,20:22:00,97,Female,19,Electronics,2,500,185,1000
605,2023-10-19,22:24:00,76,Male,37,Electronics,2,500,180,1000
1605,2022-01-24,19:39:00,2,Male,37,Electronics,2,500,165,1000
299,2023-01-25,20:03:00,76,Male,61,Electronics,2,500,230,1000
1299,2022-05-08,18:58:00,11,Male,61,Electronics,2,500,250,1000
850,2023-09-14,19:01:00,58,Female,26,Beauty,2,500,235,1000
1850,2022-02-16,20:44:00,154,Female,26,Beauty,2,500,240,1000
418,2022-04-01,18:05:00,95,Female,60,Electronics,2,500,155,1000
1418,2022-09-17,18:19:00,68,Female,60,Electronics,2,500,215,1000
816,2023-09-27,19:29:00,133,Male,47,Beauty,2,500,240,1000
1816,2022-06-17,22:30:00,52,Male,47,Beauty,2,500,245,1000
880,2023-09-26,20:13:00,63,Male,22,Beauty,2,500,175,1000
1880,2023-06-14,20:03:00,37,Male,22,Beauty,2,500,175,1000
297,2022-09-12,21:09:00,70,Female,40,Electronics,2,500,595,1000
1297,2023-10-20,22:32:00,21,Female,40,Electronics,2,500,535,1000
26,2023-10-14,17:54:00,51,Female,28,Electronics,2,500,600,1000
1026,2022-11-24,19:10:00,60,Female,28,Electronics,2,500,520,1000
393,2022-10-19,18:52:00,85,Female,22,Beauty,2,500,595,1000
1393,2022-10-08,17:24:00,56,Female,22,Beauty,2,500,580,1000
97,2022-11-26,18:17:00,112,Female,51,Beauty,2,500,555,1000
1097,2022-12-26,20:53:00,86,Female,51,Beauty,2,500,485,1000
600,2023-10-09,18:39:00,64,Female,59,Beauty,2,500,525,1000
1600,2022-12-18,17:44:00,67,Female,59,Beauty,2,500,575,1000
137,2022-09-10,20:42:00,66,Male,46,Beauty,2,500,125,1000
1137,2022-11-05,22:34:00,104,Male,46,Beauty,2,500,145,1000
395,2022-12-01,15:00:00,76,Male,50,Electronics,2,500,175,1000
1395,2023-09-10,14:18:00,91,Male,50,Electronics,2,500,130,1000
453,2022-10-14,14:45:00,90,Female,26,Clothing,2,500,265,1000
