customer_id,sum(total_sale)
117,5200
52,10325
5,30405
85,8590
48,5870
49,3350
144,5435
54,13475
66,6915
6,1625
120,2900
58,2985
59,6385
102,4065
137,4510
1,30750
150,675
50,6480
82,9360
12,1640
98,7535
123,200
68,8005
147,2395
77,5635
15,2775
145,6045
72,7485
115,5450
57,6060
128,1100
23,845
71,12790
88,2790
114,6820
24,3685
135,3140
94,6430
80,7130
22,3755
62,8565
39,2125
44,2645
41,4190
90,8715
152,1830
149,1090
3,38440
75,9290
55,12080
47,2735
8,2330
33,1655
20,3625
65,9320
61,9860
129,1910
29,8455
78,2235
86,10085
132,2265
69,2215
37,6740
51,4795
18,4090
25,1705
31,1235
104,7520
28,5120
143,1280
138,5595
139,2895
7,1695
122,3310
81,7570
146,2265
106,7180
27,2450
97,3750
116,6070
26,2630
136,2490
118,640
40,2425
87,15855
111,9845
46,3780
101,6730
56,8460
13,3285
10,2450
119,5300
42,3415
2,25295
125,1900
121,2980
105,7345
127,2740
21,4650
76,11235
43,3050
151,2950
155,1755
93,6000
95,4815
134,4320
60,7300
63,7480
142,5960
38,2660
36,2990
112,7975
45,3300
70,7040
130,7435
74,4025
32,7115
148,4055
107,4720
99,8395
9,2880
11,5700
30,6860
124,1625
141,3580
153,2225
113,9085
96,5800
53,3695
4,23580
17,620
14,3990
131,4435
109,7680
35,2260
133,2380
103,3470
110,8570
64,6795
16,5095
89,4010
140,4500
19,3390
34,4100
108,7685
92,4955
91,9965
83,9160
67,9225
126,2710
84,11730
100,3875
73,5620
154,1605
79,6650
